Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%),Rowing Time (s)
2025-11-19,aashir,0:01,15.01,0.20,0.00,0.0
2025-11-18,aashir,0:19,33.10,5.60,40.59,0.0
2025-11-17,aashir,0:22,34.09,6.34,72.31,0.0
2025-11-16,aashir,0:20,34.51,6.02,85.15,0.0
2025-11-19,aashir,0:03,23.74,0.65,0.00,0.0
2025-11-19,aashir,0:14,31.97,3.89,0.00,0.0
2025-11-20,aashir,0:36,1.17,0.06,0.00,0.0
2025-11-20,aashir,0:44,7.54,2.70,0.00,0.0
2025-11-20,aashir,0:41,14.09,4.77,79.53,0.0
2025-11-20,aashir,1:22,23.95,16.43,41.65,0.0
2025-11-20,aashir,0:23,20.82,3.96,0.00,0.0
2025-11-20,aashir,1:04,14.57,7.77,19.55,0.0
2025-11-20,aashir,3:45,4.53,7.53,62.93,0.0
2025-11-20,aashir,0:46,21.78,8.20,0.00,0.0
2025-11-20,aashir,0:35,1.22,0.07,0.00,0.0
2025-11-21,aashir,0:08,0.00,0.00,0.00,0.00
2025-11-21,aashir,0:10,30.49,2.57,0.00,10.00
2025-11-23,aashir,0:03,22.31,0.58,0.00,3.01
2025-11-23,aashir,0:01,15.01,0.21,0.00,1.59
2025-11-23,aashir,1:30,34.90,26.22,63.60,90.01
2025-11-23,aashir,0:06,27.71,1.44,0.00,6.13
